3720	3730	3740	3790	3760	3690	3700	3710	3710	3680	3720
3730	3740	3790	3760	3690	3700	3710	3710	3680	3720	3680
3740	3790	3760	3690	3700	3710	3710	3680	3720	3680	3730
3790	3760	3690	3700	3710	3710	3680	3720	3680	3730	3810
3760	3690	3700	3710	3710	3680	3720	3680	3730	3810	3810
3690	3700	3710	3710	3680	3720	3680	3730	3810	3810	3860
3700	3710	3710	3680	3720	3680	3730	3810	3810	3860	3770
3710	3710	3680	3720	3680	3730	3810	3810	3860	3770	3760
3710	3680	3720	3680	3730	3810	3810	3860	3770	3760	3720
3680	3720	3680	3730	3810	3810	3860	3770	3760	3720	3750
3720	3680	3730	3810	3810	3860	3770	3760	3720	3750	3750
3680	3730	3810	3810	3860	3770	3760	3720	3750	3750	3770
3730	3810	3810	3860	3770	3760	3720	3750	3750	3770	3780
3810	3810	3860	3770	3760	3720	3750	3750	3770	3780	3720
3810	3860	3770	3760	3720	3750	3750	3770	3780	3720	3780
3860	3770	3760	3720	3750	3750	3770	3780	3720	3780	3760
3770	3760	3720	3750	3750	3770	3780	3720	3780	3760	3810
3760	3720	3750	3750	3770	3780	3720	3780	3760	3810	3780
3720	3750	3750	3770	3780	3720	3780	3760	3810	3780	3830
3750	3750	3770	3780	3720	3780	3760	3810	3780	3830	3850
3750	3770	3780	3720	3780	3760	3810	3780	3830	3850	3760
3770	3780	3720	3780	3760	3810	3780	3830	3850	3760	3790
3780	3720	3780	3760	3810	3780	3830	3850	3760	3790	3750
3720	3780	3760	3810	3780	3830	3850	3760	3790	3750	3730
3780	3760	3810	3780	3830	3850	3760	3790	3750	3730	3700
3760	3810	3780	3830	3850	3760	3790	3750	3730	3700	3610
3810	3780	3830	3850	3760	3790	3750	3730	3700	3610	3650
3780	3830	3850	3760	3790	3750	3730	3700	3610	3650	3600
3830	3850	3760	3790	3750	3730	3700	3610	3650	3600	3480
3850	3760	3790	3750	3730	3700	3610	3650	3600	3480	3500
3760	3790	3750	3730	3700	3610	3650	3600	3480	3500	3420
3790	3750	3730	3700	3610	3650	3600	3480	3500	3420	3490
3750	3730	3700	3610	3650	3600	3480	3500	3420	3490	3620
3730	3700	3610	3650	3600	3480	3500	3420	3490	3620	3620
3700	3610	3650	3600	3480	3500	3420	3490	3620	3620	3570
3610	3650	3600	3480	3500	3420	3490	3620	3620	3570	3650
3650	3600	3480	3500	3420	3490	3620	3620	3570	3650	3570
3600	3480	3500	3420	3490	3620	3620	3570	3650	3570	3520
3480	3500	3420	3490	3620	3620	3570	3650	3570	3520	3530
3500	3420	3490	3620	3620	3570	3650	3570	3520	3530	3550
3420	3490	3620	3620	3570	3650	3570	3520	3530	3550	3520
3490	3620	3620	3570	3650	3570	3520	3530	3550	3520	3500
3620	3620	3570	3650	3570	3520	3530	3550	3520	3500	3550
3620	3570	3650	3570	3520	3530	3550	3520	3500	3550	3540
3570	3650	3570	3520	3530	3550	3520	3500	3550	3540	3550
3650	3570	3520	3530	3550	3520	3500	3550	3540	3550	3590
3570	3520	3530	3550	3520	3500	3550	3540	3550	3590	3620
3520	3530	3550	3520	3500	3550	3540	3550	3590	3620	3610
3530	3550	3520	3500	3550	3540	3550	3590	3620	3610	3600
3550	3520	3500	3550	3540	3550	3590	3620	3610	3600	3620
